Date,Open,High,Low,Close,Volume
11/2/2023,148.5,150.84,148.1,149.63,1121028
11/3/2023,149.96,151.82,149.62,151.77,963986
11/6/2023,152.01,152.89,150.6,151.47,878771
11/7/2023,151.13,151.91,150.41,151.42,1109640
11/8/2023,151.62,152.56,151.44,152.15,801465
11/9/2023,152.97,154.55,152.07,152.39,791730
11/10/2023,152.73,154.35,152.3,154.14,873437
11/13/2023,154.19,155.83,153.44,155.34,719652
11/14/2023,156.7,157.57,155.72,156.97,1018807
11/15/2023,157.6,158.59,155.61,156.21,1106695
11/16/2023,156.4,157.63,156.17,157.01,699076
11/17/2023,157.56,158.5,157.24,158.14,690419
11/20/2023,158.19,158.22,157.13,157.38,639200
11/21/2023,157.5,157.97,156.39,156.78,739125
11/22/2023,157.01,157.49,155.62,155.78,841913
11/23/2023,156.39,158.08,156.01,157.67,351426
11/24/2023,156.96,157.73,156.49,157.24,461636
11/27/2023,155.18,156.05,152.43,152.48,1897395
11/28/2023,152,153.95,152,153.28,1152763
11/29/2023,153.6,155.9,153.11,155.53,977721
11/30/2023,156.21,157.57,154.77,157.46,3357620
12/1/2023,157.25,160.42,156.6,160.23,1356562
12/4/2023,159.57,160.98,158.89,160.61,4720895
12/5/2023,160.08,160.46,159.07,159.29,1572915
12/6/2023,159.29,160.63,159.29,160.04,1739422
12/7/2023,160.78,161.96,159.66,160.87,957461
12/8/2023,160.81,161.95,160.02,160.06,789162
12/11/2023,159.63,161.56,159.55,161.44,811270
12/12/2023,161.45,161.87,160.21,161.83,1367534
12/13/2023,161.14,161.93,159.41,161.9,1087116
12/14/2023,162,163.1,161.56,162.03,1533901
12/15/2023,161.26,162.37,160.51,161.01,3848040
12/18/2023,161.32,162.77,161.11,161.92,928962
12/19/2023,161.13,163.95,161.13,163.89,818512
12/20/2023,163.05,165.84,162.69,163.33,979386
12/21/2023,164.05,165.24,163.54,164.18,603143
12/22/2023,164.42,166.1,164.41,165.67,574431
12/27/2023,165.16,167.35,164.86,166.22,620148
12/28/2023,166.05,166.91,165.02,165.46,438021
12/29/2023,165.97,166.6,165.26,166.55,407875
1/2/2024,165.37,167.42,165.14,167.18,666469
1/3/2024,166.76,168.25,166.42,167.08,723343
1/4/2024,167.37,168.53,166.73,168.05,725593
1/5/2024,167.83,168.99,167.17,168.24,595648
1/8/2024,167.59,168.26,166.25,167.25,878770
1/9/2024,166.71,167.25,165.55,165.71,1094751
1/10/2024,164.59,166.47,164.59,166.4,819237
1/11/2024,166.41,166.95,164.96,166.76,614909
1/12/2024,167.39,169.25,166.74,169.22,976808
1/15/2024,168,169.03,167.62,168.61,263678
1/16/2024,167.83,169.69,167,168.82,696670
1/17/2024,167.63,168.2,165.55,165.87,881877
1/18/2024,166.47,168.83,166.34,168.34,702339
1/19/2024,167.32,170.12,166.22,169.44,880685
1/22/2024,170,170.19,167.84,168.2,908788
1/23/2024,168.15,169.76,167.88,169.44,770001
1/24/2024,169.85,169.85,164.82,166.39,1204523
1/25/2024,166.92,167.95,165.25,166.67,743177
1/26/2024,166.62,167.71,166.08,166.65,579072
1/29/2024,166.1,166.59,164.95,166.48,638409
1/30/2024,166.47,168.42,165.9,167.53,590382
1/31/2024,167.32,168.83,166.57,166.78,1166472
2/1/2024,167.26,170.16,167.26,169.95,716602
2/2/2024,170.69,171.06,168.71,170.55,604326
2/5/2024,170.9,171.7,170.1,171.11,901686
2/6/2024,171.02,173.1,170.79,173,811348
2/7/2024,173.5,174.63,172.54,173.89,704444
2/8/2024,173.55,174.06,172.38,172.53,881412
2/9/2024,172.51,173.58,171.89,173.01,936499
2/12/2024,173.19,173.49,172.02,172.66,833110
2/13/2024,171.34,171.61,169.71,170.25,1827182
2/14/2024,171.01,174.56,170.55,174.53,828024
2/15/2024,174.7,175.49,173.93,174.92,889247
2/16/2024,175.05,175.92,174.43,175.06,800452
2/20/2024,174.59,175.48,172.58,173.12,1889368
2/21/2024,172.87,174.33,172.66,174.27,628210
2/22/2024,175.01,177.51,174.99,177.22,803399
2/23/2024,177.3,178.15,177.07,177.69,897629
2/26/2024,177.25,178.38,176.71,177.79,575848
2/27/2024,177.49,178.03,176.86,177.66,570757
2/28/2024,177.17,177.68,175.89,176.14,637900
2/29/2024,176.26,176.54,175.54,175.97,2074013
3/1/2024,175.77,177.72,175.56,176.69,1001103
3/4/2024,176.41,176.89,174.47,175.97,1218961
3/5/2024,175.43,177.1,175.43,176.19,1003459
3/6/2024,175.72,176.16,171.03,171.58,1358327
3/7/2024,172,174.04,171.53,173.65,1394165
3/8/2024,173.89,174.59,173.09,173.69,1270683
